Ticker,Sector,Debt to equity,Sales growth 3Years,Average return on equity 3Years,Piotroski score
360ONE.NS,Financial Services,1.58,16.73,21.9,5
3MINDIA.NS,Diversified,0.01,17.5,18.07,9
AADHARHFC.NS,Financial Services,2.56,21.6,17.24,6
AARTIIND.NS,Chemicals,0.69,6.11,8.47,3
AAVAS.NS,Financial Services,3.19,21.76,14.06,4
ABB.NS,Capital Goods,0.01,20.68,23.64,8
ABBOTINDIA.NS,Healthcare,0.05,9.26,34.23,7
ABCAPITAL.NS,Financial Services,4.61,22.22,16.32,3
ABFRL.NS,Consumer Services,0.74,-3.31,-11.52,5
ABREL.NS,Forest Materials,1.3,-33.43,1.28,2
ABSLAMC.NS,Financial Services,0.02,6.24,26.68,4
ACC.NS,Construction Materials,0.02,10.45,11.55,6
ACE.NS,Capital Goods,0.08,26.86,28.49,8
ACMESOLAR.NS,Power,2.43,-1.89,4.58,7
ADANIENSOL.NS,Power,1.83,28.29,11.24,7
ADANIENT.NS,Metals & Mining,1.82,12.14,9.94,5
ADANIGREEN.NS,Power,6.59,29.75,16.51,7
ADANIPORTS.NS,Services,0.82,21.99,17.58,7
ADANIPOWER.NS,Power,0.7,26.58,40.16,8
AEGISLOG.NS,Oil Gas & Consumable Fuels,1.06,22.39,15.92,5
AFCONS.NS,Construction,0.45,4.43,13.6,4
AFFLE.NS,Information Technology,0.03,27.96,15.33,7
AIAENG.NS,Capital Goods,0.07,6.33,17.8,5
AIIL.NS,Financial Services,0.04,71.36,33.47,4
AJANTPHARM.NS,Healthcare,0.01,11.63,22.33,7
AKUMS.NS,Healthcare,0.03,3.9,13.08,7
ALIVUS.NS,Healthcare,0.02,3.98,20.62,4
ALKEM.NS,Healthcare,0.13,12.63,17.42,9
ALKYLAMINE.NS,Chemicals,0,0.64,15.62,8
ALOKINDS.NS,Textiles,,-20.24,,4
AMBER.NS,Consumer Durables,0.9,33.34,8.97,7
AMBUJACEM.NS,Construction Materials,0.01,6.56,9.2,3
ANANDRATHI.NS,Financial Services,0.12,30.33,42.64,5
ANANTRAJ.NS,Realty,0.12,64.61,8.45,6
ANGELONE.NS,Financial Services,0.61,31.73,36.12,3
APARINDS.NS,Capital Goods,0.13,25.87,24.71,4
APLAPOLLO.NS,Capital Goods,0.15,16.56,21.4,6
APLLTD.NS,Healthcare,0.24,7.94,10.62,5
APOLLOHOSP.NS,Healthcare,0.98,21.75,14.4,6
APOLLOTYRE.NS,Automobile and Auto Components,0.3,7.64,10.11,7
APTUS.NS,Financial Services,1.59,29.04,17.4,3
ARE&M.NS,Automobile and Auto Components,0.05,16.35,13.53,6
ASAHIINDIA.NS,Automobile and Auto Components,1.01,13.16,15.47,6
ASHOKLEY.NS,Capital Goods,4.08,22.76,24.81,5
ASIANPAINT.NS,Consumer Durables,0.12,5.23,26.34,6
ASTERDM.NS,Healthcare,0.59,-26.1,8.1,7
ASTRAL.NS,Capital Goods,0.06,9.9,16.94,5
ASTRAZEN.NS,Healthcare,0.03,16.78,19.88,7
ATGL.NS,Oil Gas & Consumable Fuels,0.44,18.07,18.99,5
ATUL.NS,Chemicals,0.04,3.19,8.9,9
AUBANK.NS,Financial Services,7.98,39.47,14.16,5
AUROPHARMA.NS,Healthcare,0.25,10.59,10.17,4
AWL.NS,Fast Moving Consumer Goods,0.21,5.55,7.87,9
AXISBANK.NS,Financial Services,7.48,22.76,14.87,5
BAJAJ-AUTO.NS,Automobile and Auto Components,0.17,17.38,22.01,7
BAJAJFINSV.NS,Financial Services,4.92,25.07,14.38,3
BAJAJHFL.NS,Financial Services,4.11,36.48,14.28,4
BAJAJHLDNG.NS,Financial Services,0,54.98,12.18,7
BAJFINANCE.NS,Financial Services,3.74,30.11,21.17,4
BALKRISIND.NS,Automobile and Auto Components,0.31,7.99,16.33,8
BALRAMCHIN.NS,Fast Moving Consumer Goods,0.69,3.77,12.05,2
BANDHANBNK.NS,Financial Services,6.66,16.53,11.55,5
BANKBARODA.NS,Financial Services,11.14,20.36,15.81,7
BANKINDIA.NS,Financial Services,11.69,23.04,9.91,6
BASF.NS,Chemicals,0.05,,,5
BATAINDIA.NS,Consumer Durables,0.98,26.75,14.66,5
BAYERCROP.NS,Chemicals,0.04,4.95,24.11,4
BBTC.NS,Fast Moving Consumer Goods,0.28,8.05,-10.52,9
BDL.NS,Capital Goods,0,7.38,15.83,6
BEL.NS,Capital Goods,0,15.65,26.48,7
BEML.NS,Capital Goods,0.08,-2.48,9.39,6
BERGEPAINT.NS,Consumer Durables,0.11,9.63,21.48,5
BHARATFORG.NS,Automobile and Auto Components,0.72,13.07,10.76,7
BHARTIARTL.NS,Telecommunication,1.88,14.07,19.35,6
BHARTIHEXA.NS,Telecommunication,1.24,16.51,18.23,8
BHEL.NS,Capital Goods,0.36,10.14,1.93,9
BIKAJI.NS,Fast Moving Consumer Goods,0.17,17.63,18.13,3
BIOCON.NS,Healthcare,0.85,23.09,4.89,6
BLS.NS,Consumer Services,0.21,37.17,32.38,5
BLUEDART.NS,Services,0.65,9.05,23.93,7
BLUESTARCO.NS,Consumer Durables,0.12,25.43,21.42,8
BOSCHLTD.NS,Automobile and Auto Components,0,19.84,13.74,8
BPCL.NS,Oil Gas & Consumable Fuels,0.75,8.28,22.48,4
BRIGADE.NS,Realty,0.97,19.16,11.45,7
BRITANNIA.NS,Fast Moving Consumer Goods,0.29,8.27,58.19,8
BSE.NS,Financial Services,0,56.33,20.74,8
BSOFT.NS,Information Technology,0.04,14.07,18.34,7
CAMPUS.NS,Consumer Durables,0.32,26.75,21.57,6
CAMS.NS,Financial Services,0.07,15.59,42.42,7
CANBK.NS,Financial Services,14.67,19.86,16.97,7
CANFINHOME.NS,Financial Services,6.92,24.95,18.49,8
CAPLIPOINT.NS,Healthcare,0,15.14,23.49,5
CARBORUNIV.NS,Capital Goods,0.06,13.76,13.72,4
CASTROLIND.NS,Oil Gas & Consumable Fuels,0.04,8.57,43.27,7
CCL.NS,Fast Moving Consumer Goods,0.92,28.55,17.66,5
CDSL.NS,Financial Services,0,25.21,29.73,8
CEATLTD.NS,Automobile and Auto Components,0.49,12.18,12.18,5
CENTRALBK.NS,Financial Services,11.8,13.85,8.84,4
CENTURYPLY.NS,Consumer Durables,0.56,22.18,19.71,3
CERA.NS,Consumer Durables,0.05,9.93,18.96,5
CESC.NS,Power,1.5,10.67,11.99,7
CGCL.NS,Financial Services,3.62,49.06,9.15,5
CGPOWER.NS,Capital Goods,0.01,21.8,45.34,4
CHALET.NS,Consumer Services,0.85,50.12,10.33,7
CHAMBLFERT.NS,Chemicals,0.01,1.18,17.68,7
CHENNPETRO.NS,Oil Gas & Consumable Fuels,0.38,11.28,31.07,4
CHOLAFIN.NS,Financial Services,7.4,36.57,20.03,3
CHOLAHLDNG.NS,Financial Services,13.93,31.27,19.12,5
CIPLA.NS,Healthcare,0.01,8.17,16.18,6
CLEAN.NS,Chemicals,0,12.17,24.31,5
COALINDIA.NS,Oil Gas & Consumable Fuels,0.09,9.33,48.61,4
COCHINSHIP.NS,Capital Goods,0.09,12.38,13.47,4
COFORGE.NS,Information Technology,0.17,23.28,21.08,5
COHANCE.NS,Healthcare,0.02,1.36,21.94,6
COLPAL.NS,Fast Moving Consumer Goods,0.04,5.8,72.39,6
CONCOR.NS,Services,0.07,5.11,10.81,7
CONCORDBIO.NS,Healthcare,0,18.13,19.24,8
COROMANDEL.NS,Chemicals,0.07,8.02,20.87,4
CRAFTSMAN.NS,Automobile and Auto Components,0.83,36.92,15.19,5
CREDITACC.NS,Financial Services,2.94,29.18,16.26,6
CRISIL.NS,Financial Services,0.1,12.32,30.71,3
CROMPTON.NS,Consumer Durables,0.14,13.39,17,8
CUB.NS,Financial Services,6.94,12.43,12.88,5
CUMMINSIND.NS,Capital Goods,0,27.43,22.53,8
CYIENT.NS,Information Technology,0.1,17.52,15.82,5
DABUR.NS,Fast Moving Consumer Goods,0.09,4.88,18.43,5
DALBHARAT.NS,Construction Materials,0.33,7.4,5.43,4
DATAPATTNS.NS,Capital Goods,0,31.59,14.81,5
DBREALTY.NS,Consumer Services,0.4,144.16,3.75,6
DCMSHRIRAM.NS,Diversified,0.36,7.85,10.07,6
DEEPAKFERT.NS,Chemicals,0.67,10.27,16.24,8
DEEPAKNTR.NS,Chemicals,0.17,20.78,23.94,6
DELHIVERY.NS,Services,0.15,9.08,-4.32,6
DEVYANI.NS,Consumer Services,2.91,33.43,11.09,3
DIVISLAB.NS,Healthcare,0,1.47,14.16,7
DIXON.NS,Consumer Durables,0.22,53.73,28.09,7
DLF.NS,Realty,0.1,11.82,7.96,7
DMART.NS,Consumer Services,0.04,24.21,14.52,4
DOMS.NS,Fast Moving Consumer Goods,0.21,40.91,25.39,5
DRREDDY.NS,Healthcare,0.14,14.86,20.23,2
ECLERX.NS,Services,0.16,15.93,25.85,5
EICHERMOT.NS,Automobile and Auto Components,0.02,22.37,23.31,4
EIDPARRY.NS,Fast Moving Consumer Goods,0.23,16.6,15.84,6
EIHOTEL.NS,Consumer Services,0.06,40.68,15.88,9
ELECON.NS,Capital Goods,0.09,22.48,22.84,5
ELGIEQUIP.NS,Capital Goods,0.3,18.7,20.92,7
EMAMILTD.NS,Fast Moving Consumer Goods,0.03,6.07,29.9,9
EMCURE.NS,Healthcare,0.23,10.48,21.81,6
ENDURANCE.NS,Automobile and Auto Components,0.17,15.26,13.64,8
ENGINERSIN.NS,Construction,0.01,1.43,16.01,6
ERIS.NS,Healthcare,0.87,29.03,15.51,6
ESCORTS.NS,Capital Goods,0.01,12.04,10.79,5
ETERNAL.NS,Consumer Services,0.07,69.02,-0.49,6
EXIDEIND.NS,Automobile and Auto Components,0.14,10.46,6.71,4
FACT.NS,Chemicals,1.32,-2.9,27.72,5
FEDERALBNK.NS,Financial Services,9.15,25.03,14.15,3
FINCABLES.NS,Capital Goods,0,21.9,14.07,7
FINPIPE.NS,Capital Goods,0.04,-3.76,7.05,7
FIRSTCRY.NS,Consumer Services,0.33,47.2,-8.63,7
FIVESTAR.NS,Financial Services,1.26,31.44,17.27,4
FLUOROCHEM.NS,Chemicals,0.35,17.33,17.4,4
FORTIS.NS,Healthcare,0.28,10.83,8.68,8
FSL.NS,Services,0.63,10.46,15.16,3
GAIL.NS,Oil Gas & Consumable Fuels,0.25,15.22,12.05,7
GESHIP.NS,Services,0.15,14.9,21.24,7
GICRE.NS,Financial Services,0,0.44,14.39,8
GILLETTE.NS,Fast Moving Consumer Goods,0,9.93,38.9,9
GLAND.NS,Healthcare,0.03,8.47,9.23,5
GLAXO.NS,Healthcare,0.01,4.58,37.25,9
GLENMARK.NS,Healthcare,0.28,2.68,-9.68,5
GMDCLTD.NS,Metals & Mining,0.02,1.43,14.31,7
GMRAIRPORT.NS,Services,,31.3,,4
GNFC.NS,Chemicals,0.01,-2.98,9.98,9
GODFRYPHLP.NS,Fast Moving Consumer Goods,0.03,27.81,20.89,8
GODIGIT.NS,Financial Services,0.08,34.62,7.63,8
GODREJAGRO.NS,Fast Moving Consumer Goods,0.59,4.15,14.01,5
GODREJCP.NS,Fast Moving Consumer Goods,0.33,5.37,-9.87,5
GODREJIND.NS,Diversified,3.75,11.63,7.64,6
GODREJPROP.NS,Realty,0.73,39.21,7.83,6
GPIL.NS,Capital Goods,0.06,-0.13,20.27,4
GPPL.NS,Services,0.03,10.46,14.71,8
GRANULES.NS,Healthcare,0.32,11.65,16.51,3
GRAPHITE.NS,Capital Goods,0.03,-5.43,4.62,8
GRASIM.NS,Construction Materials,1.91,15.77,6.45,2
GRAVITA.NS,Metals & Mining,0.14,20.41,28.54,4
GRSE.NS,Capital Goods,0,42.49,22.91,8
GSPL.NS,Oil Gas & Consumable Fuels,0.01,-1.16,14.57,6
GUJGASLTD.NS,Oil Gas & Consumable Fuels,0.02,0.06,17.35,6
GVT&D.NS,Capital Goods,0.02,11.87,21.27,9
HAL.NS,Capital Goods,0,7.96,27.3,6
HAPPSTMNDS.NS,Information Technology,0.79,23.52,19.39,4
HAVELLS.NS,Consumer Durables,0.04,16.04,17.97,7
HBLENGINE.NS,Capital Goods,0.05,16.75,20.19,6
HCLTECH.NS,Information Technology,0.09,10.97,23.87,6
HDFCAMC.NS,Financial Services,0,12.93,29.13,5
HDFCBANK.NS,Financial Services,6.46,35.26,16.01,5
HDFCLIFE.NS,Financial Services,0.18,13.03,10.92,7
HEG.NS,Capital Goods,0.13,-0.62,7.43,6
HEROMOTOCO.NS,Automobile and Auto Components,0.04,11.46,20.93,7
HFCL.NS,Telecommunication,0.33,-4.91,7.66,3
HINDALCO.NS,Metals & Mining,0.52,6.93,12.23,8
HINDCOPPER.NS,Metals & Mining,0.04,-1.32,16.94,5
HINDPETRO.NS,Oil Gas & Consumable Fuels,1.38,7.45,12.55,5
HINDUNILVR.NS,Fast Moving Consumer Goods,0.03,6.37,20.47,7
HINDZINC.NS,Metals & Mining,0.82,4.89,55.08,8
HOMEFIRST.NS,Financial Services,3.79,36.95,15.3,3
HONASA.NS,Fast Moving Consumer Goods,0.09,26.04,,4
HONAUT.NS,Capital Goods,0.02,12.43,14.3,4
HSCL.NS,Chemicals,0.08,18.23,14.81,7
HUDCO.NS,Financial Services,5.97,13.86,13.51,6
HYUNDAI.NS,Automobile and Auto Components,0.05,12.88,34.8,6
ICICIBANK.NS,Financial Services,5.97,25,18.02,5
ICICIGI.NS,Financial Services,0,14.35,17.86,7
ICICIPRULI.NS,Financial Services,0.22,3.65,9.01,5
IDBI.NS,Financial Services,5.35,16.44,11.42,7
IDEA.NS,Telecommunication,,0.55,,5
IDFCFIRSTB.NS,Financial Services,7.66,28.58,7.88,5
IEX.NS,Financial Services,0.01,7.95,38.66,9
IFCI.NS,Financial Services,0.43,6.44,1.07,3
IGIL.NS,Services,0.01,29.13,48.83,5
IGL.NS,Oil Gas & Consumable Fuels,0.01,24.64,19.68,5
IIFL.NS,Financial Services,4.15,13.46,13.13,2
IKS.NS,Information Technology,0.48,51.66,37.02,6
INDGN.NS,Healthcare,0.04,19.48,24.09,6
INDHOTEL.NS,Consumer Services,0.28,39.71,14.66,9
INDIACEM.NS,Construction Materials,0.11,-5.13,-5.96,4
INDIAMART.NS,Consumer Services,0.02,22.6,19.67,7
INDIANB.NS,Financial Services,10.89,16.85,15.03,7
INDIGO.NS,Services,7.21,46.06,,5
INDUSINDBK.NS,Financial Services,7.22,16.45,10.95,4
INDUSTOWER.NS,Telecommunication,0.65,2.81,23.66,8
INFY.NS,Information Technology,0.09,10.25,30.72,6
INOXINDIA.NS,Capital Goods,0.05,18.61,30.2,5
INOXWIND.NS,Capital Goods,1.33,34.86,-27.68,4
INTELLECT.NS,Information Technology,0.03,10,13.69,5
IOB.NS,Financial Services,10.88,18.91,9.99,5
IOC.NS,Oil Gas & Consumable Fuels,0.82,8.76,13.12,4
IPCALAB.NS,Healthcare,0.18,12.41,11.35,7
IRB.NS,Construction,1.04,9.47,5.3,9
IRCON.NS,Construction,0.68,13.39,14.46,3
IRCTC.NS,Consumer Services,0.01,76.5,41.89,6
IREDA.NS,Financial Services,6.03,33.09,17.14,6
IRFC.NS,Financial Services,7.83,10.18,13.56,8
ITC.NS,Fast Moving Consumer Goods,0,7.49,28.31,5
ITI.NS,Telecommunication,1.05,-18.82,-11.42,3
J&KBANK.NS,Financial Services,10.62,16.1,15.14,5
JBCHEPHARM.NS,Healthcare,0.01,17.35,19.63,8
JBMA.NS,Automobile and Auto Components,1.95,19.67,15.09,7
